name,other,date,value
波风水门,,2011-01-02,1509
波风水门,,2011-01-09,4168
波风水门,,2011-01-16,4080
波风水门,,2011-01-23,4276
波风水门,,2011-01-30,4633
波风水门,,2011-02-06,4225
波风水门,,2011-02-13,5078
波风水门,,2011-02-20,4645
波风水门,,2011-02-27,4165
波风水门,,2011-03-06,4460
波风水门,,2011-03-13,4845
波风水门,,2011-03-20,5009
波风水门,,2011-03-27,5010
波风水门,,2011-04-03,5170
波风水门,,2011-04-10,6239
波风水门,,2011-04-17,5875
波风水门,,2011-04-24,5619
波风水门,,2011-05-01,8254
波风水门,,2011-05-08,8025
波风水门,,2011-05-15,7097
波风水门,,2011-05-22,6757
波风水门,,2011-05-29,6026
波风水门,,2011-06-05,6281
波风水门,,2011-06-12,8323
波风水门,,2011-06-19,7873
波风水门,,2011-06-26,7432
波风水门,,2011-07-03,7593
波风水门,,2011-07-10,7847
波风水门,,2011-07-17,7532
波风水门,,2011-07-24,7006
波风水门,,2011-07-31,7627
波风水门,,2011-08-07,8038
波风水门,,2011-08-14,7823
波风水门,,2011-08-21,7604
波风水门,,2011-08-28,6744
波风水门,,2011-09-04,5999
波风水门,,2011-09-11,5426
波风水门,,2011-09-18,6177
波风水门,,2011-09-25,5130
波风水门,,2011-10-02,5424
波风水门,,2011-10-09,5919
波风水门,,2011-10-16,5813
波风水门,,2011-10-23,6197
波风水门,,2011-10-30,6347
波风水门,,2011-11-06,7122
波风水门,,2011-11-13,6488
波风水门,,2011-11-20,6299
波风水门,,2011-11-27,5921
波风水门,,2011-12-04,5596
波风水门,,2011-12-11,5629
波风水门,,2011-12-18,5605
波风水门,,2011-12-25,5269
波风水门,,2012-01-01,5334
波风水门,,2012-01-08,5943
波风水门,,2012-01-15,6016
波风水门,,2012-01-22,5894
波风水门,,2012-01-29,8728
波风水门,,2012-02-05,9991
波风水门,,2012-02-12,13670
波风水门,,2012-02-19,11347
波风水门,,2012-02-26,9460
波风水门,,2012-03-04,8840
波风水门,,2012-03-11,8547
波风水门,,2012-03-18,7991
波风水门,,2012-03-25,7705
波风水门,,2012-04-01,7173
波风水门,,2012-04-08,9286
波风水门,,2012-04-15,8272
波风水门,,2012-04-22,7878
波风水门,,2012-04-29,8091
波风水门,,2012-05-06,9181
波风水门,,2012-05-13,8187
波风水门,,2012-05-20,8487
波风水门,,2012-05-27,8371
波风水门,,2012-06-03,9396
波风水门,,2012-06-10,9556
波风水门,,2012-06-17,9093
波风水门,,2012-06-24,8843
波风水门,,2012-07-01,8676
波风水门,,2012-07-08,9181
波风水门,,2012-07-15,9135
波风水门,,2012-07-22,8965
波风水门,,2012-07-29,9024
波风水门,,2012-08-05,8778
波风水门,,2012-08-12,8885
波风水门,,2012-08-19,9307
波风水门,,2012-08-26,8801
波风水门,,2012-09-02,9783
波风水门,,2012-09-09,9030
波风水门,,2012-09-16,8166
波风水门,,2012-09-23,7233
波风水门,,2012-09-30,6771
波风水门,,2012-10-07,10428
波风水门,,2012-10-14,9954
波风水门,,2012-10-21,8983
波风水门,,2012-10-28,8434
波风水门,,2012-11-04,7781
波风水门,,2012-11-11,7375
波风水门,,2012-11-18,7286
波风水门,,2012-11-25,6731
波风水门,,2012-12-02,6832
波风水门,,2012-12-09,6581
波风水门,,2012-12-16,6614
波风水门,,2012-12-23,6237
波风水门,,2012-12-30,6307
波风水门,,2013-01-06,6538
波风水门,,2013-01-13,6455
波风水门,,2013-01-20,6697
波风水门,,2013-01-27,7680
波风水门,,2013-02-03,10189
波风水门,,2013-02-10,10490
波风水门,,2013-02-17,9926
波风水门,,2013-02-24,9528
波风水门,,2013-03-03,7715
波风水门,,2013-03-10,7495
